15.8.2020-13:42:34//illneso left LOL(Thy Server)
15.8.2020-13:42:35//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-13:42:38//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-13:44:30//illneso joined LOL(Thy Server)
15.8.2020-13:47:46//illneso left LOL(Thy Server)
15.8.2020-13:50:12//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-13:50:16//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:21:12//grupajderiAssembleBot joined General(botTestServer)
15.8.2020-15:21:16//grupajderiAssembleBot left General(botTestServer)
15.8.2020-15:21:33//grupajderiAssembleBot joined General(botTestServer)
15.8.2020-15:21:35//Groovy joined LOL(Thy Server)
15.8.2020-15:21:35//grupajderiAssembleBot left General(botTestServer)
15.8.2020-15:21:41//grupajderiAssembleBot joined General(botTestServer)
15.8.2020-15:21:44//grupajderiAssembleBot left General(botTestServer)
15.8.2020-15:22:0//illneso joined LOL(Thy Server)
15.8.2020-15:23:14//solimm4sks left General(botTestServer)
15.8.2020-15:23:36//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:23:39//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:23:44//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:23:47//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:23:49//illneso left LOL(Thy Server)
15.8.2020-15:23:56//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:23:58//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:24:6//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:24:9//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:25:7//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:25:11//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:25:44//Mr. Janja joined LOL(Thy Server)
15.8.2020-15:25:55//jarkela left LOL(Thy Server)
15.8.2020-15:25:56//jarkela joined LOL(Thy Server)
15.8.2020-15:26:8//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:26:12//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:26:42//illneso joined LOL(Thy Server)
15.8.2020-15:26:51//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:26:54//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:26:55//illneso left LOL(Thy Server)
15.8.2020-15:26:56//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:26:59//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:27:6//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:27:9//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:27:41//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:27:43//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:27:52//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:27:55//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:28:19//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:28:22//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:28:29//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:28:31//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-15:28:59//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-15:29:1//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-16:1:44//jarkela left LOL(Thy Server)
15.8.2020-16:2:7//solimm4sks left LOL(Thy Server)
15.8.2020-16:2:17//grupajderiAssembleBot joined LOL(Thy Server)
15.8.2020-16:2:19//grupajderiAssembleBot left LOL(Thy Server)
15.8.2020-16:7:3//Groovy left LOL(Thy Server)
15.8.2020-16:14:31//illneso joined LOL(Thy Server)
15.8.2020-16:15:24//illneso left LOL(Thy Server)
15.8.2020-16:33:50//Urosh left LOL(Thy Server)
15.8.2020-16:33:50//Vanjanja left LOL(Thy Server)
15.8.2020-16:33:53//Mr. Janja left LOL(Thy Server)
15.8.2020-21:16:44//solimm4sks joined LOL(Thy Server)
15.8.2020-21:16:52//Mr. Janja joined LOL(Thy Server)
15.8.2020-21:41:21//grupajderiAssembleBot joined LOL(Thy Server)
